Nr.;Anrede;Titel;Vorname;Nachname;Geburtsdatum;Straße;Hausnummer;Postleitzahl;Stadt;Telefon;Mobil;Telefax;EMail;Newsletter;Eintragsdatum
7653;Frau;;Rosemarie;Michalke;;Hirschgraben;69;54597;Pronsfeld;06556/98799988;0160/4368036;;rosemarie.michalke@xyz.none;;18.07.1996
7654;Frau;Dr.;Kimberley;Raum;;Im Wehrholz;39;54536;Kröv;06541/20747271;;;kimberley.raum@spam-mail.none;;15.02.1995
7655;Frau;Dr.;Walburg;Buhr;;Am Pfaffengraben;116;56323;Waldesch;02628/15277946;0164/2836093;;walburgbuhr@net-mail.none;;06.05.2006
7656;Herr;;Liebhardt;Brunner;19.11.1977;Großholthuysen;199;46414;Rhede;;;;;;18.08.2013
7657;Herr;;Joshua;Engemann;;Taubenweg;66;86450;Altenmünster;08295/93310069;0162/7305346;;joshua-engemann@retromail.none;;31.12.1975
7658;Herr;;Dietz;Baake;;Grafenweg;62;78345;Moos;07732/16025479;0151/4481961;;dietz_05@net-mail.none;;18.04.2007
7659;Frau;;Anneke;Lemmer;;Erlenkamp;62;75433;Maulbronn;07043/47510092;0155/8433102;;anneke.lemmer@bestmail.none;;12.01.2023
7660;Frau;;Valentine;Horton;;Wolfhagenstraße;130;36145;Hofbieber;06657/72119624;0164/6168446;;valentinehorton@email.none;;05.03.1996
7661;Herr;;Lennox;Bührmann;;Oberste Ströthe;99;17337;Klein Luckow;03973/71326891;;;lennox.14@open-mail.none;;21.06.2021
7662;Frau;;Gertraut;Benzing;;Wardböhmen;37;49545;Tecklenburg;05482/26186003;;;g_1949@goggle-mail.none;ja;20.06.1992
7663;Herr;;Joerg;Schaupp;;Paulinenstraße;150;56271;Mündersbach;02680/33702249;;;j-schaupp@trashmail.none;;22.08.2014
7664;Frau;;Ingetraut;Schweigert;;Bormiger Weg;75;55595;Winterbach;0671/1031268;0159/2931386;;ingetraut.schweigert@goggle-mail.none;;31.12.2022
7665;Frau;;Birke;Evans;;Obere Brühlstraße;129;23730;Neustadt;04561/76239994;0179/2613324;04561/73849599;birkeevans@xyz.none;;24.08.2020
7666;Herr;;Detmar;Grützmacher;;Untermarkstraße;58a;45529;Hattingen an der Ruhr;02324/30119707;0171/4288173;;d11@justmail.none;;23.04.1943
7667;Frau;;Pauline;Messerschmidt;23.11.1940;Antoniusweg;132;35581;Wetzlar;06441/9679963;0179/3333787;;pauline.messerschmidt@bestmail.none;;12.05.1987
7668;Herr;Dr.;Florentius;Schmölz;;Empeler Straße;157;42857;Remscheid;;0152/8507238;;;;19.04.2003
7669;Herr;;Seppl;Zoller;;Mittelfeld;103;96515;Judenbach;;0158/1605461;;seppl-2018@inter-mail.none;ja;23.12.2020
7670;Herr;;Tilmann;Bunte;16.10.1965;Unter den Weinbergen;150a;36369;Lautertal;06643/34996310;0171/6395800;;;nein;06.10.1999
7671;Frau;;Brunhild;Trettin;01.04.2022;Obernhofer Straße;62;73252;Lenningen;;;;brunhild2022@web.none;;19.04.2025
7672;Frau;;Annie;Gerbig;;Hagebuttenweg;6;67112;Mutterstadt;06234/16695365;;;a.gerbig@company.none;nein;09.09.2019
7673;Herr;;Sigmut;Curth;;Lagerhausstraße;178;76133;Karlsruhe;0721/92255474;0160/4651254;;sigmutcurth@company.none;ja;13.10.1986
7674;Frau;;Annica;Steinbach;21.12.1943;Weissdornweg;16;82387;Antdorf;08856/87225266;0161/5252346;;a_steinbach@validmail.none;;29.05.1962
7675;Herr;Dr.;Marvin;Escher;;Im Enger;147;55413;Niederheimbach;06721/23991141;0179/5065107;;marvinescher@trashmail.none;ja;17.02.1974
7676;Herr;;Horstmar;Wiesmann;;Hinterm Bahnhof;187;26935;Stadland;04732/87380695;0174/3346025;;horstmar.wiesmann@net-mail.none;;01.06.2004
7677;Herr;;Sonnhard;Hilgert;;Arberstraße;190;23717;Kasseedorf;04528/46873396;0167/8047583;;sonnhard-hilgert@hoster.none;;01.12.2017
7678;Herr;;Erhart;Kalus;;Ringstraße;142;54611;Hallschlag;;0163/3967661;;erhart_1966@xyz.none;;07.09.2018
7679;Frau;;Lilly;Dürkop;;Kaiser-Friedrich-Straße;35;61206;Wöllstadt;;0179/4942001;;lilly.duerkop@hoster.none;;27.10.2001
7680;Frau;;Christiane;Jetter;;Lauenburger Straße;94;47798;Krefeld;;0151/3259121;;christianejetter@open-mail.none;;12.11.2023
7681;k.A.;;Rebecca;Kimpel;;Krausstraße;142;98673;Auengrund;03686/44950641;0179/6297493;;r-kimpel@goggle-mail.none;;22.05.2016
7682;Herr;;Anton;Brach;;Kaltbachtal;166;34439;Willebadessen;05646/2279998;0153/4160577;;abrach@validmail.none;ja;24.11.2025
7683;Herr;Dr.;Matthis;Kampa;;Twistedener Straße;100;56368;Ergeshausen;;0154/4185181;06486/17984401;matthis-kampa@goggle-mail.none;;12.10.2014
7684;Herr;Dr.;Treufried;Strunk;;Im Wieschen;89;71554;Weissach;07191/3709069;0164/9113606;;treufried_11@spam-mail.none;ja;13.03.1982
7685;Frau;;Constanze;Arns;;Jägerskamp;51;42477;Radevormwald;02195/42603645;0163/2540410;;constanzearns@xyz.none;;15.02.1936
7686;Frau;;Mechthild;Kornmann;;Im Schauinsland;177;55606;Horbach;;;;mkornmann@inter-mail.none;;07.05.2020
7687;Herr;;Wolfhart;Häussler;;Vulkanstraße;81;86833;Ettringen;08249/3376883;0157/7221548;;wolfhart_haeussler@anymail.none;;31.01.1957
7688;k.A.;;Falkhard;Kracke;;Staffelsweg;9;84427;Sankt Wolfgang;08085/88781813;;;;;06.03.2009
7689;Frau;;Christl;Kruska;;Kirchenstraße;84;25557;Hanerau-Hademarschen;04872/65655240;;;;;19.06.1994
7690;Frau;;Ria;Harmon;;Siemensstraße;170;74912;Kirchardt;07266/56784389;0178/5131356;;;;08.11.2023
7691;Frau;;Vroni;Kutsch;;Am Grauen Stein;91;65558;Heistenbach;;0156/3892938;;vroni.1998@open-mail.none;ja;10.07.2003
7692;Frau;;Anfriede;Lindau;;Koblenzer Straße;123;63773;Goldbach;;;;a.lindau@kitty.none;;11.05.2012
7693;Frau;;Wilma;Ceylan;20.09.1913;Mötzower Landstraße;158;93186;Pettendorf;;0167/9561502;;wilma.1913@web.none;;06.04.1976
7694;Frau;;Irene;Sauter;;Stöckhof;95;57577;Seelbach;02682/49124349;0175/4801012;;isauter@web.none;;08.06.1962
7695;Frau;;Angelika;Kalthoff;;Krefelder Straße;198;67681;Sembach;;0171/5152541;;a.kalthoff@open-mail.none;ja;26.10.1946
7696;Herr;;Ingomar;Schurig;21.05.1930;Wilhelm-Pieck-Straße;177;56651;Oberzissen;02636/79565009;0179/6221294;;ingomar-schurig@retromail.none;;17.09.2002
7697;Frau;;Berthilde;Lindinger;;Kempelstraße;36;54570;Oberstadtfeld;;0158/9289498;;b_lindinger@funmail.none;;07.10.2016
7698;Herr;;Heinzfried;Bonitz;27.11.1910;Krejuhl;157;50765;Köln;0221/53342558;;;h_bonitz@private.none;;09.07.1977
7699;Frau;;Kassandra;Stegmaier;;Im Erlengrund;27;95444;Bayreuth;0921/49929987;0157/1673870;;kassandra.1992@web.none;;01.06.2019
7700;Frau;;Traudl;Lichtenberger;;Rheingoldstraße;102;56745;Bell;02655/82804894;0153/7865943;;;;22.08.2010
7701;Frau;Dr.;Reny;Wachsmann;;Zur Hell;12;37412;Elbingerode;05584/53297972;0169/9177136;;reny-wachsmann@live-mail.none;;05.02.2003
7702;Frau;Dr.;Gudrun;Bosbach;19.03.2012;Haulingort;142;24143;Kiel;;0155/2660096;;gudrun-12@inter-mail.none;ja;30.05.2024
7703;Herr;;Agilmar;Gust;;Gertrudenhof;40 c;49637;Menslage;05437/17926286;;;agilmar-1958@justmail.none;;26.10.1999
7704;Frau;;Edwina;Lohe;;Uhlandstraße;158;34134;Kassel;0561/64537174;0159/4775626;;e.1961@domain.none;;14.01.2006
7705;Frau;;Doreen;Weyer;;Jenaer Weg;1;49661;Cloppenburg;;0150/6276922;;doreen-weyer@validmail.none;;24.07.1986
7706;Frau;Prof. Dr.;Henriette;Wesselmann;;Am Kickenberg;198;25926;Ladelund;;0154/9334484;;henriette.88@retromail.none;nein;06.07.2013
7707;Frau;;Renate;Rupprecht;;Junker-Schilling-Straße;139;56472;Hahn;02661/88491491;0179/7811555;;;;29.07.1917
7708;Herr;;Siegfried;Herzberg;01.10.1957;Stephanstraße;12;54668;Alsdorf;06568/65038141;;06568/52622143;;;12.03.1982
7709;Herr;;Heinfried;Acar;;Edmund-Weber-Straße;63;71063;Sindelfingen;07031/87002712;0162/3042843;;heinfriedacar@justmail.none;nein;20.10.2015
7710;Frau;;Rena;Herbst;;Holzheimer Straße;171;72644;Oberboihingen;07022/14683447;0177/5207691;;rena.herbst@ultramail.none;;05.02.2004
7711;k.A.;;Dietmund;Kück;;Polcher Straße;152;71549;Auenwald;07191/28540727;;;dietmundkueck@kitty.none;;26.10.2000
7712;Herr;;Dietbald;Clarke;14.04.2010;Großberghauser Straße;82;88697;Bermatingen;07544/62817269;0167/1836196;;dietbald_clarke@email.none;;19.04.2025
7713;Frau;;Hildelies;Reiner;;Elzerstraße;73;55758;Sulzbach;;;;h_reiner@private.none;;27.06.1976
7714;Herr;;Elkmar;Ince;;Donnenstraße;131;91077;Hetzles;09134/54237560;;;e.ince@email.none;;06.07.2000
7715;Frau;;Siegrun;Mitterer;;Walder Straße;52;12557;Treptow-Köpenick;;0168/6168414;030/81664218;siegrun-mitterer@kitty.none;;24.01.1997
7716;Frau;;Manja;Neumeier;;Ochsenkamp;89;56850;Enkirch;06541/53341688;0164/3854419;;;;29.08.1942
7717;Herr;;Rigbert;Scharnagl;29.12.2020;Hanauer Straße;46;54316;Hinzenburg;0651/2462394;0158/6191347;;rigbertscharnagl@web.none;ja;22.03.2022
7718;Herr;;Theobert;Knobel;;Wiedehagen;82 b;76689;Karlsdorf-Neuthard;07251/45562274;0166/5613798;;theobert-knobel@domain.none;;18.06.2001
7719;Herr;;Jörn;Klaes;09.01.1978;Brenker Weg;146;54636;Ließem;06561/67475450;;06561/12611372;;;12.10.2003
7720;Frau;;Dina;Zerbe;20.10.2020;Flaper Schulweg;26 b;55595;Winterbach;0671/14827293;0158/7597543;;dina-zerbe@ultramail.none;;17.12.2024
7721;Frau;;Edeltraud;Larson;;Josef-Leusch-Straße;96;20249;Hamburg;040/99189692;0166/5037189;;e81@mymail.none;ja;07.02.2011
7722;Herr;;Eckart;Timme;;Mühlenholzweg;63;53520;Müllenbach;02691/8719327;;;eckart_timme@spam-mail.none;;07.10.2017
7723;Frau;;Gertrude;Böhle;;Kaiserallee;76;56291;Mühlpfad;06747/71878378;0151/2392348;;gboehle@ultramail.none;;14.04.2022
7724;Frau;;Sonngard;Sassen;;Bühlstraße;159;72226;Simmersfeld;07484/55599568;0178/7792359;;s-sassen@company.none;ja;20.03.2019
7725;Frau;;Erkhild;Maschmann;;Kreuzstraße;108;89608;Griesingen;;0169/1461296;07391/13020483;erkhild.1917@anymail.none;;12.08.2004
7726;Frau;Dr.;Hella;Pleyer;;Sterntalerweg;40;24994;Holt;;;;h-pleyer@kitty.none;ja;05.09.2023
7727;Frau;;Klothilde;Pischel;30.03.2017;Feitzerweg;31;63637;Jossgrund;06059/4954544;0156/5442233;;k_pischel@bestmail.none;ja;02.11.2017
7728;Herr;;Ilrich;Oeser;14.09.1944;Lehmbergstraße;12;54655;Kyllburgweiler;06563/77638037;0159/5272870;;ilrichoeser@trashmail.none;;11.01.1954
7729;Frau;;Ursel;Hörr;;Haindlstraße;81;48301;Nottuln;02502/42278444;0157/5438927;;u-hoerr@mymail.none;;07.02.2024
7730;Frau;;Hildetraud;Sahin;;Nellheck;200;54597;Balesfeld;06553/72139945;0155/9796450;;hildetraud_sahin@kitty.none;;20.02.1953
7731;Frau;;Käthchen;Patzke;15.12.1992;Olde Feld;34;55569;Nußbaum;06751/29236358;;;kaethchen.patzke@ultramail.none;;01.02.2021
7732;Herr;;Sieghardt;Lörcher;;Einmuthstraße;109a;67305;Ramsen;06351/46102427;0156/7417005;;s.loercher@spam-mail.none;nein;05.03.2017
7733;Frau;;Annika;Grieger;;Mainzer Straße;177;29353;Ahnsbeck;;0174/2811067;;annika.grieger@bestmail.none;;15.06.2002
7734;k.A.;;Amely;Senft;13.05.1905;Schlotthauerstraße;127;49685;Halen;04473/54182540;0166/4074878;;;;19.05.1995
7735;Frau;;Aloisia;Murphy;;Jungfrauenthal;51;55595;Boos;0671/58534974;0170/7950487;0671/15049544;aloisia_murphy@inter-mail.none;;24.03.1989
7736;k.A.;;Burkhardt;Ewers;31.10.1925;Selstener Straße;19;21227;Bendestorf;;;;burkhardt.ewers@email.none;;09.08.1953
7737;Herr;;Benedict;Lewis;;Carl-Schurz-Straße;38;54673;Ammeldingen;06564/87100638;0165/5237917;;;;31.03.1998
7738;Frau;;Hanna;Barten;;Kreuzgasse;131;59269;Beckum;02521/97295480;0161/5658292;;;;06.03.1942
7739;Herr;;Heimo;Gora;;Mühlenaustraße;57;55606;Kellenbach;06752/70350271;0171/9297796;06752/60521239;heimo-2000@private.none;;30.08.2009
7740;k.A.;;Gottwaldt;Lipinski;;Apfelbaumer Weg;86;38644;Goslar;05321/11344369;;;gottwaldt_lipinski@net-mail.none;;09.02.1997
7741;Frau;;Birglinde;Baumgardt;;Lambertusstraße;125;73266;Bissingen an der Teck;07023/95223560;0165/1895370;;bbaumgardt@live-mail.none;;31.03.1983
7742;Herr;Dr.;Hildmar;Nikolaus;12.06.1925;Batterieweg;164;86836;Untermeitingen;08232/58472151;0153/1512480;;hildmar_nikolaus@quickmail.none;;13.11.1990
7743;Herr;;Manhold;Clark;01.07.1999;Unter Scherrlinden;169;25785;Nordhastedt;04804/5896660;0159/5913658;;;;14.03.2002
7744;k.A.;;Silvester;Vaupel;;Mehrener Straße;160;34298;Helsa;;0170/6530346;;;;29.05.1940
7745;Herr;;Dierk;Plewka;26.07.2009;Carl-Leverkus-Straße;62;54570;Niederstadtfeld;;0168/1706163;;dierk_plewka@funmail.none;;27.06.2022
7746;Frau;;Alix;Widder;;Middendorf;109;54675;Nusbaum;;0178/9525710;;a-widder@kitty.none;;04.12.2012
7747;Herr;;Börries;Konopka;;Eickhoff;74;37434;Rüdershausen;;0170/3110529;;bkonopka@justmail.none;;07.01.2005
7748;Frau;;Rena;Pommerenke;;Am Alten Posthof;102;66130;Saarbrücken;0681/93764302;0157/4739333;;r_pommerenke@company.none;;19.08.1936
7749;Frau;;Gottfrieda;Willkomm;;Am Beiese;196;76831;Billigheim-Ingenheim;;0155/2672053;;gottfriedawillkomm@email.none;ja;18.04.1983
7750;Herr;;Christhardt;Tremmel;04.10.1909;Dumte;191;71720;Oberstenfeld;07062/78158272;0168/4375694;;;;18.10.1944
7751;Herr;;Heiko;Pfeifer;09.09.1942;Schweizertalstraße;52;65589;Hadamar;06433/6302428;;;;;06.04.1963
7752;Frau;;Aloysia;Schlenker;18.07.1943;Buschacker;79c;25927;Aventoft;04664/36553630;0171/3438175;;;;16.11.1946
7753;Frau;;Huberta;Kimpel;;Dierdorfer Straße;110;66793;Saarwellingen;06838/26186604;0153/8768128;;;nein;09.05.2024
7754;Herr;;Haymo;Pawlik;;Freckenhorster Straße;108a;76470;Ötigheim;07222/44189320;0169/8768447;;haymopawlik@ultramail.none;ja;09.12.1976
7755;Frau;;Theresa;Betzler;;Ernteweg;200;66887;Sankt Julian;06387/89754443;;;theresa_betzler@live-mail.none;;08.07.2021
7756;Herr;;Falkhard;Walsh;;Junkergrund;183;34454;Bad Arolsen;;0157/3721457;;falkhard-walsh@mymail.none;;23.05.1972
7757;Frau;;Annekatrin;Dittberner;;Merseburger Straße;127;21763;Neuenkirchen;04751/62807659;;;annekatrin_1947@email.none;ja;09.07.1978
7758;Herr;;Hanspeter;Wellmann;;Rilkestraße;103;79183;Waldkirch;07681/77224337;0167/8524449;;hanspeter.1995@justmail.none;;23.06.2019
7759;Herr;;Christhardt;Mitchell;;August-Wörner-Straße;49;24321;Hohwacht;04381/19865922;0168/6625361;;c-mitchell@net-mail.none;;05.03.2020
7760;Herr;;Joseph;Kramp;;Schirmerstraße;56;49685;Emstek;;0152/8464253;;joseph_kramp@justmail.none;;10.04.2017
7761;Herr;;Gernot;Sirch;;Steinebacher Straße;29 a;33824;Werther;05203/87046287;0175/5563424;;;;06.05.1980
7762;Frau;;Ruthilde;Desch;;Comeniusstraße;6;91355;Hiltpoltstein;;0158/6834775;;ruthilde.desch@email.none;;31.08.2021
7763;Herr;;Helgomar;Weigt;;Pankratiusstraße;158;56754;Dünfus;02672/2492351;0163/7276652;;helgomar.26@inter-mail.none;;20.04.1960
7764;Frau;;Hilgrun;Holzapfel;19.04.1991;Moerser Straße;97;24783;Osterrönfeld;04331/36159945;0151/9052156;;h-holzapfel@retromail.none;;11.02.2002
7765;Frau;;Carsta;Blanke;;Häberlstraße;109;55595;Sommerloch;0671/72923055;;;;;26.07.1971
7766;Herr;;Friedolf;Harrer;;Nikolaus-Ehlen-Straße;48 a;04103;Leipzig;0341/84496677;0152/2815759;;f-harrer@open-mail.none;;06.12.1999
7767;Herr;;Günter;Hasan;22.10.1937;Hermann-Treff-Weg;57;46242;Bottrop;02041/41390644;0172/4891981;;;ja;09.01.1980
7768;Frau;;Irmlind;Lommatzsch;;Kelterser Straße;171;24891;Struxdorf;;0168/2780051;;irmlind.79@trashmail.none;;03.09.2005
7769;k.A.;;Waldfried;Krimmel;;Königsweg;95 a;25724;Neufelderkoog;;;;waldfriedkrimmel@goggle-mail.none;ja;08.07.1999
7770;Frau;;Roslinda;Braig;03.01.2015;In den Lärchen;127;87737;Boos;08335/22087894;0175/1675446;;r.braig@bestmail.none;;05.08.2015
7771;Herr;;Eckhardt;Cunningham;15.03.1970;In den Neugärten;131;54666;Irrel;06525/79514326;0155/4316751;;e.cunningham@trashmail.none;;20.09.1976
7772;Herr;;Klaudius;Kärcher;29.04.1979;Fischerstraße;105;54411;Rorodt;06504/33543322;0174/9628807;;klaudius1979@anymail.none;ja;12.04.2025
7773;Frau;;Mania;Storm;;Kammertstraße;157;50677;Köln;0221/19397343;0158/9565907;;m-35@web.none;;30.10.2016
7774;Herr;;Wastl;Gier;;Oberdreiser Kopf;141;19230;Kuhstorf;03883/34161409;0150/8536214;;wastl-gier@retromail.none;;05.03.1932
7775;Herr;;Ekkard;Zühlke;;Odenthaler Straße;51;27419;Vierden;04282/9705795;0170/6568193;;ekkard.zuehlke@validmail.none;ja;24.07.2008
7776;Herr;;Bodmar;Trimborn;30.01.1929;Gerberstraße;24;50765;Köln;;0151/1249777;0221/70664131;bodmar1929@trashmail.none;;20.01.1960
7777;Herr;;Sighard;Stockhausen;;Birkhofstraße;105;84559;Kraiburg am Inn;08638/11177456;0155/5996491;;s32@company.none;;31.07.2005
7778;Frau;;Kerstin;Buchberger;;Temming;137;17111;Borrentin;03994/32032425;0178/7015685;;k.buchberger@ultramail.none;;22.07.2003
7779;k.A.;;Dorothee;Sinz;26.10.1980;Große Fischgasse;169;57080;Siegen;0271/25864695;0179/8688401;;dorothee_80@inter-mail.none;;09.06.1989
7780;Herr;;Beat;Oster;;Kiefernstieg;65;46354;Südlohn;02862/30986334;0176/1667482;;beat_oster@spam-mail.none;nein;28.11.2021
7781;Frau;;Elfrieda;Roßmann;;Strippchens Hof;140;67294;Mauchenheim;;;;elfrieda_rossmann@funmail.none;nein;18.06.1949
7782;k.A.;;Annabell;Stange;;Steinwäldchen;63;56751;Gering;02654/68654251;;;annabell77@retromail.none;;19.07.2003
7783;Herr;;Otwin;Hopkins;22.10.1918;Bergsteg;146;73765;Neuhausen auf den Fildern;07158/70138141;0162/9963050;;otwin_18@xyz.none;;11.06.1992
7784;Herr;;Otwin;Habeck;17.05.1990;Ostlandweg;140;41540;Dormagen;;;;otwin_1990@private.none;;21.05.2010
7785;Herr;;Frederic;Uhlenbrock;;Am Krummen Acker;136;59199;Bönen;02383/19648500;0164/1301393;;;;05.12.2017
7786;Herr;;Kuno;Stieler;;In der Postheck;83;53539;Bodenbach;02692/34474594;0156/1140262;;kuno_1944@retromail.none;;26.12.2003
7787;Frau;;Witta;Grabs;;Am Unterbach;100b;53229;Bonn;0228/41686829;0158/2581566;;witta-grabs@trashmail.none;ja;05.03.1985
7788;Frau;;Dorina;Greiner;;Lange Gasse;75;73116;Wäschenbeuren;07172/19072514;0165/6890049;;;;15.01.2022
7789;Herr;;Karli;Kreisel;16.04.1987;Richard-Strauß-Straße;151;82541;Münsing;08177/39050461;0177/3296906;;;;14.05.1991
7790;k.A.;;Roslinde;Reusch;;Margaretenhöhe;38;54552;Gefell;06592/35935172;0161/6917434;;roslinde.20@validmail.none;nein;08.03.1940
7791;Herr;Dr.;Kristof;Pfau;09.03.2025;Auf der Thomm;188;75210;Keltern;07236/13746781;0154/5538952;;kristof-pfau@justmail.none;nein;01.08.2025
7792;Herr;;Tino;Beneke;;Freisenbruchstraße;178;54429;Schillingen;06589/95479844;0159/8023245;;tino.beneke@mymail.none;;23.02.1977
7793;Herr;;Helmo;Czarnetzki;;Kuckucksweg;156;26446;Friedeburg;;0177/3254407;;;;05.07.1986
7794;Frau;;Liesgret;Schall;;An der Fuhr;170;71573;Allmersbach;07191/70722715;0170/3566208;;liesgret.97@email.none;;26.02.2007
7795;k.A.;;Monica;Werkmeister;12.03.1983;Krottorfer Straße;76;91602;Dürrwangen;09856/88412159;;;m-werkmeister@private.none;;19.01.2025
7796;Herr;;Irenäus;Schroer;;Karl-Arnold-Straße;69;25786;Dellstedt;04802/85350355;0165/1511175;;i_1932@private.none;ja;22.01.1958
7797;Herr;;Robby;Fäth;22.05.1955;Avallonstraße;148;76779;Scheibenhardt;07273/56535079;0160/6446378;;robbyfaeth@justmail.none;;27.04.1994
7798;Herr;;Lienhard;Hilz;;Eickendorf;97;53507;Dernau;02643/98450509;0163/7336615;;lienhard_1965@live-mail.none;ja;13.08.1967
7799;Frau;;Loremarie;Schwarz;;Am Stömpgen;38;88477;Schwendi;07353/12393605;0173/3030927;;l_schwarz@email.none;nein;22.10.1937
7800;k.A.;;Jan;Koppe;15.12.1996;Watzmannstraße;111;49429;Visbek;04445/53790426;0178/2245794;;jankoppe@quickmail.none;;11.06.2020
7801;Herr;;Heyko;Eitner;;Am Stübel;30;36166;Haunetal;06673/64733753;0165/5032569;;h.eitner@bestmail.none;;08.04.1978
7802;Frau;Dr.;Brunhildis;Sutor;;Pechriede;72;13581;Spandau;030/51265928;0177/6250077;;brunhildis.sutor@retromail.none;;19.09.2003
7803;Frau;;Roselette;Deutscher;27.07.1955;Bonkampstraße;23;27336;Rethem;05165/38622529;0171/7194769;;roselette_deutscher@xyz.none;;15.05.1969
7804;Frau;Dr.;Margareth;Jenkins;28.11.1909;Millinger Straße;18;66740;Saarlouis;06831/72831150;0172/7334830;;margareth-jenkins@quickmail.none;;30.05.1961
7805;Herr;;Luk;Korsch;09.09.2002;Recklinghauser Straße;184;82377;Penzberg;08856/9263904;0165/2835137;;;;11.01.2021
7806;Frau;;Hannetraud;Raeder;;Mathildenstraße;11;24220;Flintbek;04347/1872719;0157/3627385;04347/26452050;hannetraud-raeder@justmail.none;;20.04.1993
7807;Frau;;Amalie;Tekin;28.07.1995;Usinger Straße;139;56751;Kollig;02654/56758801;0166/2190346;;a.tekin@validmail.none;;19.12.2013
7808;Frau;;Hildelind;Franz;;Bahnhofplatz;25;67482;Böbingen;08234/94973052;0169/5368132;;hfranz@web.none;;15.01.1979
7809;k.A.;;Friedeburg;Allen;;Budapester Straße;68;74385;Pleidelsheim;;0150/3783918;;friedeburg-allen@ultramail.none;;16.07.2005
7810;k.A.;;Borwin;Meschke;;Sonnenschein;105;55569;Auen;06754/57954045;;06754/14833722;borwin-2002@web.none;nein;11.03.2014
7811;Frau;;Annetraud;Schäuble;;Brachtpetalstraße;182;56414;Bilkheim;06435/76079915;0153/3847717;;;;25.09.2009
7812;k.A.;;Hansjörg;Richardson;;Hofpfad;89b;25560;Schenefeld;04892/40171790;0152/9877536;;hansjoerg.richardson@company.none;;22.12.1946
7813;Herr;;Hadubert;Viehmann;19.10.1945;Lärchenweg;33;37308;Hohes Kreuz;03606/54238659;0162/9329406;;hadubert_viehmann@net-mail.none;;04.05.1963
7814;Frau;;Annegrete;Belitz;;Im Herrengarten;176;72762;Reutlingen;07121/3526490;;;annegrete-belitz@web.none;nein;10.07.2021
7815;k.A.;;Ignatz;Tänzer;12.09.1987;Auf'm Acker;175;88138;Sigmarszell;08389/4631711;0163/8591388;;ignatz-87@ultramail.none;ja;04.09.2024
7816;Herr;;Wolf;Westhoff;;Hachenburger Straße;116;49762;Lathen;05933/5544612;0152/2968816;;;ja;20.07.1999
7817;Frau;;Sonngard;Bischoff;;Georg-Fugmann-Straße;184;27798;Hude;0421/50249990;0172/3596337;;sonngard.bischoff@xyz.none;;27.02.1973
7818;Herr;;Erdmann;Lindauer;;Niedenstraße;179;23898;Wentorf;04536/46847660;;;erdmann_1950@goggle-mail.none;;18.12.1954
7819;Frau;;Hertraud;Türk;;Hannebacher Straße;14;73550;Hummelshalden;07171/89231944;0151/5972377;;hertraud_tuerk@email.none;nein;20.10.2021
7820;Herr;;Eberhardt;Seubert;;Eschstraße;178;82496;Oberau;08824/9378001;0163/2661567;;eberhardtseubert@quickmail.none;;15.05.2012
7821;Herr;;York;Tauber;;Dumte;2;65550;Limburg an der Lahn;06431/29556284;0152/7059373;;;;16.03.1987
7822;Herr;;Jost;Pratt;;Bahnhofsplatz;118;89361;Landensberg;08222/93439922;0157/5552621;;jost_pratt@open-mail.none;ja;23.05.2008
7823;Herr;;Helfred;Jörg;;Hostertstraße;73;25597;Kronsmoor;04828/87561300;0160/9262178;;helfred-joerg@goggle-mail.none;;05.02.1962
7824;Herr;;Artur;Ertel;;Laar;127;54636;Hamm;06569/63051715;0154/3668505;;;ja;28.08.1947
7825;Herr;;Marlon;Bezold;;Gustav-Heinemann-Ring;28;86675;Buchdorf;;;;marlon1946@inter-mail.none;;02.12.1959
7826;Frau;;Luisa;Lautenschläger;;Ritterstraße;161;22929;Schönberg;04536/65686226;0176/2197235;04536/2315229;luisalautenschlaeger@open-mail.none;;17.10.1974
7827;k.A.;;Stephanie;Leier;;Lilienthalstraße;146;67468;Neidenfels;06325/99859465;0173/7571174;;stephanie_leier@justmail.none;ja;20.07.1990
7828;Frau;;Resel;Giese;;Hahnenbergstraße;122 b;67167;Erpolzheim;06353/66900848;0175/2073308;;;ja;16.03.1995
7829;Frau;;Sylvelin;Schlegelmilch;;Hindenburgstraße;112;24537;Neumünster;;0175/2324363;;s-57@open-mail.none;;08.09.1957
7830;Herr;;Christoph;Nieß;;Batzensteg;15 a;55606;Heimweiler;06752/88434857;0158/8357059;;c_2024@trashmail.none;;14.06.2025
7831;Frau;;Emilia;Rißmann;;In der Rose;124;27442;Gnarrenburg;04763/116338;0152/1406599;;erissmann@quickmail.none;;04.12.2020
7832;Herr;;Burgfried;Todt;19.01.1903;Stefanstraße;52;25554;Kleve;04821/45295657;0171/3046893;;b03@spam-mail.none;;25.02.1912
7833;Frau;;Clara;Birner;;Zum Wiesengrund;62;12169;Berlin;;0171/9137871;;clara-birner@anymail.none;;28.04.2000
7834;Frau;;Lindhilde;Hein;;Schaafsweg;115;65830;Kriftel;06192/29036127;0167/4084608;;lindhilde.hein@validmail.none;;26.04.1951
7835;Herr;;Bertram;Ferber;05.05.1931;Steinbitz;144;29413;Gieseritz;03902/40655786;0175/6968263;;;ja;05.08.1992
7836;Herr;;Wennemar;Scheck;04.01.1933;Altenhofer Straße;61;14776;Brandenburg an der Havel;03381/46316688;;;wennemar_1933@xyz.none;;25.02.1979
